index,sigma_fcs,fcs_loc,radius,AR,tdivc_scale,N_eng,HTR_f,l_fcs,theta_floor,fcs_fuselage_location,has_strut,CDS,WMTO,Vol_wing,PFEI,seats_abreast,Vol_nacelle,y_centroid_wing,L_fuse,y_centroid_nacelles,span,x_centroid_fuse,Vol_fuse,length,P_prop_max
"(1, 9, 8, 10, 2, 3, 1, 7, 2, 1)",2000.0,nacelle,2.54,10.1,1.0,4,0.2722222222222222,0.0,0.0,1.0,false,5.70560714644599,1.0093374269182964e6,36.22776131411688,1.2189983788860532,7,0.6176414130919595,9.321061651380129,25.14600000000001,9.77335543376589,40.71561860566597,31.24200000000001,0.0,49.761526889002155,1.9154215778415885e7
"(1, 9, 8, 10, 2, 4, 1, 7, 2, 1)",2000.0,nacelle,2.54,10.1,1.0,4,0.3,0.0,0.0,1.0,false,5.716840608740008,1.0106387352511187e6,36.29717273349867,1.2213368570985415,7,0.772088258967357,9.326674341754742,25.14600000000001,9.790232623654612,40.74182572025561,31.24200000000001,0.0,49.78034579416241,1.9191080216441832e7
"(1, 9, 8, 10, 2, 5, 1, 7, 2, 1)",2000.0,nacelle,2.54,10.1,1.0,4,0.30833333333333335,0.0,0.0,1.0,false,5.72051619701081,1.0110650920429352e6,36.31992399672443,1.2221020325278802,7,0.823217501444806,9.328512469174063,25.14600000000001,9.795731024896135,40.750408416376956,31.24200000000001,0.0,49.78650362378446,1.920314240331579e7
"(1, 9, 8, 10, 2, 6, 1, 7, 2, 1)",2000.0,nacelle,2.54,10.1,1.0,4,0.34444444444444444,0.0,0.0,1.0,false,5.738231122679199,1.0131238757783179e6,36.429850187045076,1.2257900475194154,7,1.0736896058704484,9.337382797930623,25.14600000000001,9.822070914910757,40.79182629383949,31.24200000000001,0.0,49.81618387382806,1.9261278589519974e7
"(1, 9, 8, 10, 2, 7, 1, 7, 2, 1)",2000.0,nacelle,2.54,10.1,1.0,4,0.38055555555555554,0.0,0.0,1.0,false,5.759197084091808,1.0155687494244011e6,36.560532431583226,1.230155372089823,7,1.3786290156844838,9.347904677825893,25.14600000000001,9.85291302212639,40.84095569412868,31.24200000000001,0.0,49.851316171486,1.9330085961844124e7
"(1, 9, 8, 10, 2, 8, 1, 7, 2, 1)",2000.0,nacelle,2.54,10.1,1.0,4,0.4166666666666667,0.0,0.0,1.0,false,5.783991108623133,1.0184714545855926e6,36.71588524997762,1.2353189644912461,7,1.7508034834394908,9.36038014089624,25.14600000000001,9.88894457007439,40.899206883562215,31.24200000000001,0.0,49.892874611238234,1.9411459371864736e7
"(1, 9, 8, 10, 2, 9, 1, 7, 2, 1)",2000.0,nacelle,2.54,10.1,1.0,4,0.4527777777777778,0.0,0.0,1.0,false,5.813366245378956,1.0219260543890265e6,36.901056608566606,1.2414373814643926,7,2.207471040952459,9.375203989998454,25.14600000000001,9.931048896679522,40.96842329960368,31.24200000000001,0.0,49.94212012484045,1.9507871855203178e7
"(1, 9, 8, 10, 2, 10, 1, 7, 2, 1)",2000.0,nacelle,2.54,10.1,1.0,4,0.4888888888888889,0.0,0.0,1.0,false,5.848322744894673,1.0260585065538764e6,37.12296275904704,1.2487191912480604,7,2.7723573559123724,9.392903061949864,25.14600000000001,9.980378900246151,41.05106488069976,31.24200000000001,0.0,50.000732686250096,1.9622608551250167e7
"(1, 9, 8, 10, 2, 11, 1, 7, 2, 1)",2000.0,nacelle,2.54,10.1,1.0,4,0.525,0.0,0.0,1.0,false,5.890212175597217,1.031040464497797e6,37.39106601263235,1.2574464120009383,7,3.478759565664022,9.41419238463592,25.14600000000001,10.038462982504505,41.150470278455664,31.24200000000001,0.0,50.070984126533325,1.9760108679673042e7
"(1, 9, 8, 10, 2, 12, 1, 7, 2, 1)",2000.0,nacelle,2.54,10.1,1.0,4,0.5611111111111111,0.0,0.0,1.0,false,5.940901616789115,1.0371113688229022e6,37.718626565145236,1.2680089903955056,7,4.374584467726054,9.44006455138693,25.14600000000001,10.107368871438393,41.27127416990007,31.24200000000001,0.0,50.15601600031753,1.992650533355812e7
