index,fcs_loc,radius,AR,tdivc_scale,N_eng,HTR_f,l_fcs,theta_floor,fcs_fuselage_location,has_strut,CDS,WMTO,Vol_wing,PFEI,seats_abreast,Vol_nacelle,y_centroid_wing,L_fuse,y_centroid_nacelles,span,x_centroid_fuse,Vol_fuse,length
"(1, 9, 8, 10, 2, 1, 1, 7, 2, 1)",nacelle,2.54,10.1,1.0,4,0.2,0.0,0.0,1.0,false,4.728518565958739,753507.2258264873,23.50094501480814,1.0108645611882847,7,0.23947366054583055,8.140291023301549,25.14600000000001,8.610385526493037,35.202292715804894,31.24200000000001,0.0,48.08840199996434
"(1, 9, 8, 10, 2, 2, 1, 7, 2, 1)",nacelle,2.54,10.1,1.0,4,0.2361111111111111,0.0,0.0,1.0,false,4.7369456250362765,754401.9410170234,23.54225704740748,1.012618320674527,7,0.3430339490072928,8.14475477078344,25.14600000000001,8.624467766833812,35.223135116498554,31.24200000000001,0.0,48.102481668905234
"(1, 9, 8, 10, 2, 3, 1, 7, 2, 1)",nacelle,2.54,10.1,1.0,4,0.2722222222222222,0.0,0.0,1.0,false,4.7471676864656605,755489.4115538411,23.59250100081192,1.0147456435850846,7,0.47109644389272004,8.150176541096334,25.14600000000001,8.641434699624764,35.24845077554709,31.24200000000001,0.0,48.11956092315332
"(1, 9, 8, 10, 2, 4, 1, 7, 2, 1)",nacelle,2.54,10.1,1.0,4,0.3,0.0,0.0,1.0,false,4.756387774831972,756472.324717408,23.6379440404,1.0166644651964383,7,0.5888688475380511,8.155073591098525,25.14600000000001,8.65663351517922,35.27131637867016,31.24200000000001,0.0,48.13496671028495
"(1, 9, 8, 10, 2, 5, 1, 7, 2, 1)",nacelle,2.54,10.1,1.0,4,0.30833333333333335,0.0,0.0,1.0,false,4.759403795856074,756794.2641576456,23.65283486916956,1.017292139931257,7,0.6278545004433809,8.156676894519418,25.14600000000001,8.661584195227551,35.278802620324136,31.24200000000001,0.0,48.14000666371549
"(1, 9, 8, 10, 2, 6, 1, 7, 2, 1)",nacelle,2.54,10.1,1.0,4,0.34444444444444444,0.0,0.0,1.0,false,4.773934558395532,758348.1545896801,23.724749012178883,1.020316211002277,7,0.8188187791252978,8.164410402352933,25.14600000000001,8.685293460745218,35.31491238452732,31.24200000000001,0.0,48.16428735747889
"(1, 9, 8, 10, 2, 7, 1, 7, 2, 1)",nacelle,2.54,10.1,1.0,4,0.38055555555555554,0.0,0.0,1.0,false,4.79112044657039,760191.9790574096,23.810173404821214,1.0238929044829088,7,1.0512677505634855,8.173576391144062,25.14600000000001,8.713041149540821,35.357710775769945,31.24200000000001,0.0,48.19300608499527
"(1, 9, 8, 10, 2, 8, 1, 7, 2, 1)",nacelle,2.54,10.1,1.0,4,0.4166666666666667,0.0,0.0,1.0,false,4.811427234038753,762378.8664537697,23.911622443289467,1.0281191438539803,7,1.3349053702300622,8.18443325072414,25.14600000000001,8.745437268631864,35.408404283536846,31.24200000000001,0.0,48.226943142739366
"(1, 9, 8, 10, 2, 9, 1, 7, 2, 1)",nacelle,2.54,10.1,1.0,4,0.4527777777777778,0.0,0.0,1.0,false,4.835464327623801,764978.8578820886,24.032417913147484,1.0331223820305593,7,1.6828413888955098,8.197320341283982,25.14600000000001,8.783267015301536,35.46857746903027,31.24200000000001,0.0,48.26712131603815
"(1, 9, 8, 10, 2, 10, 1, 7, 2, 1)",nacelle,2.54,10.1,1.0,4,0.4888888888888889,0.0,0.0,1.0,false,4.864038882652246,768085.444459873,24.177010731478806,1.0390716010333338,7,2.1130855532320663,8.212689327321796,25.14600000000001,8.827553108237375,35.54033927154147,31.24200000000001,0.0,48.31490034590684
"(1, 9, 8, 10, 2, 11, 1, 7, 2, 1)",nacelle,2.54,10.1,1.0,4,0.525,0.0,0.0,1.0,false,4.8982350890244515,771824.8876240592,24.35143529516025,1.0461912909825097,7,2.6508877713871604,8.23114745052346,25.14600000000001,8.879644308017376,35.62652506080993,31.24200000000001,0.0,48.372084808186834
"(1, 9, 8, 10, 2, 12, 1, 7, 2, 1)",nacelle,2.54,10.1,1.0,4,0.5611111111111111,0.0,0.0,1.0,false,4.939548340562143,776373.2366017889,24.564144004577336,1.054792820708259,7,3.332535849304673,8.25353744719128,25.14600000000001,8.941362793523858,35.73106979233283,31.24200000000001,0.0,48.441179074827424
"(1, 9, 8, 10, 2, 13, 1, 7, 2, 1)",nacelle,2.54,10.1,1.0,4,0.5972222222222222,0.0,0.0,1.0,false,4.990091961429307,781981.9256648734,24.827273633496127,1.0653161767442971,7,4.211742993519334,8.281055818834812,25.14600000000001,9.015226336941751,35.85956024358667,31.24200000000001,0.0,48.52572078404214
"(1, 9, 8, 10, 2, 14, 1, 7, 2, 1)",nacelle,2.54,10.1,1.0,4,0.6333333333333333,0.0,0.0,1.0,false,5.052949527982056,789022.3689113595,25.15887398574052,1.0784033052653523,7,5.370905646781309,8.315458101168618,25.14600000000001,9.10481969774035,36.0201934684916,31.24200000000001,0.0,48.63087614691606
"(1, 9, 8, 10, 2, 15, 1, 7, 2, 1)",nacelle,2.54,10.1,1.0,4,0.6694444444444444,0.0,0.0,1.0,false,5.132800832216779,798066.3265580003,25.586953800256126,1.0950284823414482,7,6.942061082972932,8.359423517157248,25.14600000000001,9.215437190053983,36.22547945754357,31.24200000000001,0.0,48.764483949131744
"(1, 9, 8, 10, 2, 16, 1, 7, 2, 1)",nacelle,2.54,10.1,1.0,4,0.7055555555555556,0.0,0.0,1.0,false,5.237107176304408,810040.8944279595,26.157392485797743,1.1167452561970865,7,9.148631606673106,8.41725055267556,25.14600000000001,9.35526934772,36.49548896190923,31.24200000000001,0.0,48.939049984710756
"(1, 9, 8, 10, 2, 17, 1, 7, 2, 1)",nacelle,2.54,10.1,1.0,4,0.7416666666666667,0.0,0.0,1.0,false,5.3785417424486,826552.8611300706,26.95074765812538,1.1461915466607988,7,12.395958279561095,8.496287466198732,25.14600000000001,9.537764052131456,36.86453291610303,31.24200000000001,0.0,49.17581584496522
"(1, 9, 8, 10, 2, 18, 1, 7, 2, 1)",nacelle,2.54,10.1,1.0,4,0.7777777777777778,0.0,0.0,1.0,false,5.580537955831485,850648.7764259994,28.12243903635622,1.188245716606069,7,17.490813501043633,8.61021396882391,25.14600000000001,9.786839643253433,37.396485457543555,31.24200000000001,0.0,49.51408110066943
"(1, 9, 8, 10, 2, 19, 1, 7, 2, 1)",nacelle,2.54,10.1,1.0,4,0.8138888888888889,0.0,0.0,1.0,false,5.891946983360634,888889.3737313309,30.01545174755831,1.2530868991005428,7,26.261881449655576,8.787739138724607,25.14600000000001,10.150123934176335,38.22539675669078,31.24200000000001,0.0,50.03589048270765
"(1, 9, 8, 10, 2, 20, 1, 7, 2, 1)",nacelle,2.54,10.1,1.0,4,0.85,0.0,0.0,1.0,false,6.435212668664563,958464.8062654004,33.562760540304254,1.3662237816521952,7,43.76466999467589,9.10117340734852,25.14600000000001,10.740376309513408,39.688903069331616,31.24200000000001,0.0,50.94698327002286
"(1, 9, 8, 10, 3, 1, 1, 7, 2, 1)",nacelle,2.54,10.1,1.0,6,0.2,0.0,0.0,1.0,false,4.733333525867777,752186.4913938505,23.438279402238805,1.0121780845899662,7,0.19595227222880668,8.133743134645142,25.14600000000001,8.401936065420253,35.171718916631015,31.24200000000001,0.0,48.09894725391148
