index,fcs_loc,radius,AR,tdivc_scale,N_eng,HTR_f,Vspec,fcs_fuselage_location,CDS,WMTO,Vol_wing,PFEI,seats_abreast,Vol_nacelle
"(1, 1, 1, 1, 4, 4, 1, 1)",nacelle,2.54,10.1,1.0,8,0.3105263157894737,500000.0,0.0,4.770025924013311,754655.430917403,23.55129026324024,1.020258266558794,7,0.4534294609569515
"(1, 1, 1, 1, 4, 5, 1, 1)",nacelle,2.54,10.1,1.0,8,0.3473684210526316,500000.0,0.0,4.7852765366481975,756189.9689174625,23.6221991216089,1.0234221812021385,7,0.5937849352529608
"(1, 1, 1, 1, 4, 6, 1, 1)",nacelle,2.54,10.1,1.0,8,0.38421052631578945,500000.0,0.0,4.8033648989748485,758015.3170686949,23.70663626642041,1.0271759090844024,7,0.7653451934447826
"(1, 1, 1, 1, 4, 7, 1, 1)",nacelle,2.54,10.1,1.0,8,0.42105263157894735,500000.0,0.0,4.824800015419781,760185.4366374627,23.807149888693857,1.031624146091535,7,0.9756422247947786
"(1, 1, 1, 1, 4, 8, 1, 1)",nacelle,2.54,10.1,1.0,8,0.45789473684210524,500000.0,0.0,4.850252243416433,762771.9853524334,23.927131963606968,1.0369060038719073,7,1.2349304210064673
"(1, 1, 1, 1, 4, 9, 1, 1)",nacelle,2.54,10.1,1.0,8,0.49473684210526314,500000.0,0.0,4.880614904663929,765871.0640187785,24.071147734755726,1.0432068300379242,7,1.5574212680551371
"(1, 1, 1, 1, 4, 10, 1, 1)",nacelle,2.54,10.1,1.0,8,0.531578947368421,500000.0,0.0,4.917100855990395,769614.1027642466,24.245464620775245,1.0507782574415494,7,1.9632447359073286
"(1, 1, 1, 1, 4, 11, 1, 1)",nacelle,2.54,10.1,1.0,8,0.5684210526315789,500000.0,0.0,4.961394735163407,774185.1868554747,24.458901371867046,1.0599697764363063,7,2.4816742836433443
"(1, 1, 1, 1, 4, 12, 1, 1)",nacelle,2.54,10.1,1.0,8,0.6052631578947368,500000.0,0.0,5.015902458429856,779849.7457966997,24.724243548651668,1.0712804872533546,7,3.156650997706625
"(1, 1, 1, 1, 4, 13, 1, 1)",nacelle,2.54,10.1,1.0,8,0.6421052631578947,500000.0,0.0,5.084179162654446,787004.3706364622,25.060722015201414,1.085447807806577,7,4.056719697296461
"(1, 1, 1, 1, 4, 14, 1, 1)",nacelle,2.54,10.1,1.0,8,0.6789473684210526,500000.0,0.0,5.171705114475087,796268.4497964706,25.498618035287123,1.1036085141536205,7,5.293991081187085
"(1, 1, 1, 1, 4, 15, 1, 1)",nacelle,2.54,10.1,1.0,8,0.7157894736842105,500000.0,0.0,5.287389660255399,808664.6074591749,26.08844623282762,1.1276095528112373,7,7.063078393333128
"(1, 1, 1, 1, 4, 16, 1, 1)",nacelle,2.54,10.1,1.0,8,0.7526315789473684,500000.0,0.0,5.446761955409918,826009.7499168044,26.921169334505485,1.1606705410277183,7,9.728894882334293
"(1, 1, 1, 1, 4, 17, 1, 1)",nacelle,2.54,10.1,1.0,8,0.7894736842105263,500000.0,0.0,5.6795681693742015,851870.2703112914,28.178614805156244,1.2089646874681812,7,14.050742100740818
"(1, 1, 1, 1, 4, 18, 1, 1)",nacelle,2.54,10.1,1.0,8,0.8263157894736842,500000.0,0.0,6.0509898591689115,894314.3775867745,30.28309544188149,1.285994757735722,7,21.86251607437189
"(1, 1, 1, 1, 4, 19, 1, 1)",nacelle,2.54,10.1,1.0,8,0.8631578947368421,500000.0,0.0,6.7379210718444345,976256.6236494738,34.48536602838317,1.4283732103485514,7,38.768196787266945
