index,fcs_loc,radius,AR,tdivc_scale,N_eng,HTR_f,l_fcs,thetafloor,fcs_fuselage_location,has_strut,CDS,WMTO,Vol_wing,PFEI,seats_abreast,Vol_nacelle,y_centroid_wing,L_fuse,y_centroid_nacelles,span
"(1, 1, 8, 10, 1, 4, 8, 7, 2, 1)",fuselage,2.54,10.1,1.0,2,0.3,1.5,0.0,1.0,false,4.838426728915088,771315.9017244251,24.343597928933804,1.0357185837782208,7,0.8549543169566096,8.229262541903015,26.64600000000001,5.075525660176715,35.61772393106467
"(1, 1, 8, 10, 1, 4, 9, 7, 2, 1)",fuselage,2.54,10.1,1.0,2,0.3,1.7083333333333333,0.0,1.0,false,4.849921459873993,772814.1625102193,24.414992313850888,1.0382575683043034,7,0.8579315746526226,8.23675002321968,26.854333333333344,5.080507602998307,35.65268493332146
"(1, 1, 8, 10, 1, 4, 10, 7, 2, 1)",fuselage,2.54,10.1,1.0,2,0.3,1.9166666666666667,0.0,1.0,false,4.861431794938785,774316.368997741,24.486639033286707,1.0407999961239593,7,0.8609163569768478,8.244249529688213,27.06266666666668,5.0854975469909895,35.6877020841473
"(1, 1, 8, 10, 1, 4, 11, 7, 2, 1)",fuselage,2.54,10.1,1.0,2,0.3,2.125,0.0,1.0,false,4.872958138923316,775822.5502437215,24.558539937236088,1.0433459399953056,7,0.8639087747413023,8.25176116917016,27.27100000000001,5.090495563922558,35.72277588717585
"(1, 1, 8, 10, 1, 4, 12, 7, 2, 1)",fuselage,2.54,10.1,1.0,2,0.3,2.3333333333333335,0.0,1.0,false,4.884502511751853,777333.0656563678,24.63071197900888,1.0458968705150498,7,0.8669093639126395,8.25928662608357,27.479333333333344,5.095502774553659,35.7579142073941
"(1, 1, 8, 10, 1, 4, 13, 7, 2, 1)",fuselage,2.54,10.1,1.0,2,0.3,2.5416666666666665,0.0,1.0,false,4.896067537161049,778848.3967507558,24.703178911861613,1.0484547331795462,7,0.8699188507162874,8.266828292981696,27.68766666666668,5.100520770816616,35.79312821625696
"(1, 1, 8, 10, 1, 4, 14, 7, 2, 1)",fuselage,2.54,10.1,1.0,2,0.3,2.75,0.0,1.0,false,4.907650363945852,780367.8327982108,24.775907705228864,1.051016444248444,7,0.8729364682951477,8.274382610059623,27.89600000000001,5.105547184125275,35.828401292107195
"(1, 1, 8, 10, 1, 4, 15, 7, 2, 1)",fuselage,2.54,10.1,1.0,2,0.3,2.9583333333333335,0.0,1.0,false,4.919251859159167,781891.441064052,24.848902369389585,1.0535821767560096,7,0.8759624674695637,8.281949907900716,28.104333333333344,5.110582234439776,35.86373497852475
"(1, 1, 8, 10, 1, 4, 16, 7, 2, 1)",fuselage,2.54,10.1,1.0,2,0.3,3.1666666666666665,0.0,1.0,false,4.930873040456294,783419.2889177094,24.92216594315171,1.0561521284729876,7,0.8789971053758711,8.289530403109941,28.31266666666668,5.1156260658824895,35.89913028689467
"(1, 1, 8, 10, 1, 4, 17, 7, 2, 1)",fuselage,2.54,10.1,1.0,2,0.3,3.375,0.0,1.0,false,4.942515273296097,784951.4963816698,24.99570490609998,1.0587266021048882,7,0.8820408068174898,8.297124676718768,28.52100000000001,5.120679065054122,35.93458993020437
"(1, 1, 8, 10, 1, 4, 18, 7, 2, 1)",fuselage,2.54,10.1,1.0,2,0.3,3.5833333333333335,0.0,1.0,false,4.954179933015938,786488.1405738805,25.069523432649355,1.0613058395009507,7,0.8850938969611766,8.304733063481253,28.729333333333344,5.125741454689861,35.9701154715078
"(1, 1, 8, 10, 1, 4, 19, 7, 2, 1)",fuselage,2.54,10.1,1.0,2,0.3,3.7916666666666665,0.0,1.0,false,4.9658691645098,788029.3822730538,25.143629309822124,1.0638902893087265,7,0.8881569714355652,8.312356264605045,28.93766666666668,5.130813701351994,36.00571018492628
