index,fcs_loc,radius,AR,tdivc_scale,N_eng,HTR_f,Vspec,fcs_fuselage_location,CDS,WMTO,Vol_wing,PFEI,seats_abreast,Vol_nacelle,y_centroid_wing,L_fuse,y_centroid_nacelles
"(1, 1, 1, 1, 1, 1, 12, 2)",fuselage,2.54,10.1,1.0,2,0.2,663157.8947368421,1.0,4.809383243780482,767975.343908911,24.187596153876072,1.029646627655076,7,0.3476058650700019,8.212767530863271,26.633975380413094,5.064550380457663
"(1, 1, 1, 1, 1, 1, 13, 1)",fuselage,2.54,10.1,1.0,2,0.2,705263.1578947369,0.0,4.72827276230689,757463.0418245126,23.689476496949965,1.0117314473265842,7,0.33905483822427224,8.159894556595587,25.14600000000001,5.029370308085
"(1, 1, 1, 1, 1, 1, 13, 2)",fuselage,2.54,10.1,1.0,2,0.2,705263.1578947369,1.0,4.804520062014547,767342.237333669,24.15750686358883,1.0285724305502548,7,0.347091150294766,8.209594071709764,26.545141029343657,5.0624388570520225
"(1, 1, 1, 1, 1, 1, 14, 1)",fuselage,2.54,10.1,1.0,2,0.2,747368.4210526316,0.0,4.72827276230689,757463.0418245126,23.689476496949965,1.0117314473265842,7,0.33905483822427224,8.159894556595587,25.14600000000001,5.029370308085
"(1, 1, 1, 1, 1, 1, 14, 2)",fuselage,2.54,10.1,1.0,2,0.2,747368.4210526316,1.0,4.800207091369193,766781.0540164618,24.13084569831164,1.027619763239525,7,0.3466348834576479,8.206780005444836,26.466316182620073,5.060566462766797
"(1, 1, 1, 1, 1, 1, 15, 1)",fuselage,2.54,10.1,1.0,2,0.2,789473.6842105263,0.0,4.72827276230689,757463.0418245126,23.689476496949965,1.0117314473265842,7,0.33905483822427224,8.159894556595587,25.14600000000001,5.029370308085
"(1, 1, 1, 1, 1, 1, 15, 2)",fuselage,2.54,10.1,1.0,2,0.2,789473.6842105263,1.0,4.796355995217787,766280.2059821557,24.107058596344196,1.026769125819209,7,0.346227653221085,8.204267571968918,26.395899319547002,5.058894765784766
"(1, 1, 1, 1, 1, 1, 16, 1)",fuselage,2.54,10.1,1.0,2,0.2,831578.947368421,0.0,4.72827276230689,757463.0418245126,23.689476496949965,1.0117314473265842,7,0.33905483822427224,8.159894556595587,25.14600000000001,5.029370308085
"(1, 1, 1, 1, 1, 1, 16, 2)",fuselage,2.54,10.1,1.0,2,0.2,831578.947368421,1.0,4.792896300561258,765830.4490390697,24.085704119022125,1.0260049394921749,7,0.34586194562676237,8.20201069032549,26.332613278050953,5.057393105236027
"(1, 1, 1, 1, 1, 1, 17, 1)",fuselage,2.54,10.1,1.0,2,0.2,873684.2105263158,0.0,4.72827276230689,757463.0418245126,23.689476496949965,1.0117314473265842,7,0.33905483822427224,8.159894556595587,25.14600000000001,5.029370308085
"(1, 1, 1, 1, 1, 1, 17, 2)",fuselage,2.54,10.1,1.0,2,0.2,873684.2105263158,1.0,4.78977123797712,765424.3492849899,24.066427460789356,1.0253146702954683,7,0.34553172259547527,8.199972278617059,26.27542709597621,5.056036807951429
"(1, 1, 1, 1, 1, 1, 18, 1)",fuselage,2.54,10.1,1.0,2,0.2,915789.4736842106,0.0,4.72827276230689,757463.0418245126,23.689476496949965,1.0117314473265842,7,0.33905483822427224,8.159894556595587,25.14600000000001,5.029370308085
