index,fcs_loc,radius,AR,tdivc_scale,N_eng,HTR_f,l_fcs,thetafloor,fcs_fuselage_location,has_strut,CDS,WMTO,Vol_wing,PFEI,seats_abreast,Vol_nacelle,y_centroid_wing,L_fuse,y_centroid_nacelles,span
"(1, 9, 3, 1, 1, 4, 1, 7, 1, 1)",wing,2.54,7.333333333333333,0.75,2,0.3,0.0,0.0,0.0,false,5.394705223773503,784668.1401246798,22.265810665290786,1.1359973542172048,7,1.0024508592354557,7.157123384422693,28.956000000000014,4.362156804421325,30.611626697693513
"(1, 9, 3, 1, 1, 4, 1, 7, 1, 2)",wing,2.54,7.333333333333333,0.75,2,0.3,0.0,0.0,0.0,true,5.361922066084761,761926.8910904254,21.663643518242573,1.1277586897442538,7,0.9933605536327851,7.061941477162289,28.956000000000014,4.298825652119656,30.16719755873443
"(1, 9, 3, 2, 1, 4, 1, 7, 1, 1)",wing,2.54,7.333333333333333,0.7777777777777778,2,0.3,0.0,0.0,0.0,false,5.366310245216158,776830.2354820739,22.934341260289152,1.1298880107109128,7,0.9946739161520128,7.1244865343806225,28.956000000000014,4.340441234938079,30.459236736407576
"(1, 9, 3, 2, 1, 4, 1, 7, 1, 2)",wing,2.54,7.333333333333333,0.7777777777777778,2,0.3,0.0,0.0,0.0,true,5.341753024991391,756000.3728934808,22.359462398989606,1.123454376956249,7,0.9878483476453831,7.036916000166104,28.956000000000014,4.282174459254489,30.050347082487644
"(1, 9, 3, 3, 1, 4, 1, 7, 1, 1)",wing,2.54,7.333333333333333,0.8055555555555556,2,0.3,0.0,0.0,0.0,false,5.34194050450672,769929.4130437712,23.610099138002973,1.1247965750271318,7,0.9880141577833111,7.095609440260088,28.956000000000014,4.321227292935701,30.324402055689134
"(1, 9, 3, 3, 1, 4, 1, 7, 1, 2)",wing,2.54,7.333333333333333,0.8055555555555556,2,0.3,0.0,0.0,0.0,true,5.324622378892632,750770.5497383784,23.0600483768118,1.1199696926305676,7,0.9831729643773993,7.014745388368392,28.956000000000014,4.267422807046674,29.94682671611701
"(1, 9, 3, 4, 1, 4, 1, 7, 1, 1)",wing,2.54,7.333333333333333,0.8333333333333334,2,0.3,0.0,0.0,0.0,false,5.321879001495752,763886.3964876356,24.29542601866804,1.1208240240461917,7,0.9825400054903536,7.070213757441746,28.956000000000014,4.30432977635229,30.205822991945897
"(1, 9, 3, 4, 1, 4, 1, 7, 1, 2)",wing,2.54,7.333333333333333,0.8333333333333334,2,0.3,0.0,0.0,0.0,true,5.311031329800234,746201.2222911505,23.768234114333467,1.117449224835356,7,0.979465464151278,6.995310009300584,28.956000000000014,4.25449109568249,29.85607786443853
"(1, 9, 3, 5, 1, 4, 1, 7, 1, 1)",wing,2.54,7.333333333333333,0.8611111111111112,2,0.3,0.0,0.0,0.0,false,5.307258886818542,758699.64246832,24.995686526311196,1.1182719004000792,7,0.9785506086898254,7.048342574699692,28.956000000000014,4.289777355150379,30.103700737897398
"(1, 9, 3, 5, 1, 4, 1, 7, 1, 2)",wing,2.54,7.333333333333333,0.8611111111111112,2,0.3,0.0,0.0,0.0,true,5.3023071074125445,742323.7738886836,24.489745916218432,1.116233877383174,7,0.977080273975872,6.978777557556586,28.956000000000014,4.24349090405516,29.778883537229195
"(1, 9, 3, 6, 1, 4, 1, 7, 1, 1)",wing,2.54,7.333333333333333,0.8888888888888888,2,0.3,0.0,0.0,0.0,false,5.299436418655961,754393.625220724,25.71735456373187,1.1174836280070923,7,0.9764057001735874,7.030144177077493,28.956000000000014,4.277668693697476,30.018727675070007
"(1, 9, 3, 6, 1, 4, 1, 7, 1, 2)",wing,2.54,7.333333333333333,0.8888888888888888,2,0.3,0.0,0.0,0.0,true,5.299955615551126,739187.8210597857,25.231294910216732,1.116695645371512,7,0.9764204940686944,6.965391433051377,28.956000000000014,4.234584183080878,29.716380232146516
"(1, 9, 3, 7, 1, 4, 1, 7, 1, 1)",wing,2.54,7.333333333333333,0.9166666666666666,2,0.3,0.0,0.0,0.0,false,5.30052159322224,751039.2683748711,26.46932775896769,1.118906231416535,7,0.9766705860069199,7.015958651415802,28.956000000000014,4.2682300754556515,29.952491757583523
"(1, 9, 3, 7, 1, 4, 1, 7, 1, 2)",wing,2.54,7.333333333333333,0.9166666666666666,2,0.3,0.0,0.0,0.0,true,5.306163797747912,736880.6732578855,26.001773797548367,1.1192955185361622,7,0.9780754618726406,6.9555535088449725,28.956000000000014,4.22803832689685,29.67044439927614
"(1, 9, 3, 8, 1, 4, 1, 7, 1, 1)",wing,2.54,7.333333333333333,0.9444444444444444,2,0.3,0.0,0.0,0.0,false,5.313038191370036,748736.2859480795,27.26242611452698,1.1230547184931432,7,0.9800278515715132,7.006243705583652,28.956000000000014,4.261766045349434,29.907130142803048
"(1, 9, 3, 8, 1, 4, 1, 7, 1, 2)",wing,2.54,7.333333333333333,0.9444444444444444,2,0.3,0.0,0.0,0.0,true,5.323521522175358,735518.0235106065,26.8121132691208,1.1245778476701658,7,0.9827496332776028,6.949783389523787,28.956000000000014,4.224199064624776,29.643502207893167
"(1, 9, 3, 9, 1, 4, 1, 7, 1, 1)",wing,2.54,7.333333333333333,0.9722222222222222,2,0.3,0.0,0.0,0.0,false,5.339333280685538,747582.3755587216,28.107990429647998,1.130428122873256,7,0.9871238562952769,7.0014415966004195,28.956000000000014,4.258570867776934,29.88470784404866
"(1, 9, 3, 9, 1, 4, 1, 7, 1, 2)",wing,2.54,7.333333333333333,0.9722222222222222,2,0.3,0.0,0.0,0.0,true,5.354364959241809,735199.3280051965,27.673109750266946,1.1330084540865895,7,0.9910911148837875,6.9485249738809065,28.956000000000014,4.223361753049164,29.63762633718712
"(1, 9, 3, 10, 1, 4, 1, 7, 1, 1)",wing,2.54,7.333333333333333,1.0,2,0.3,0.0,0.0,0.0,false,5.380452646412429,747604.8945579403,29.01401185073226,1.1412783487759757,7,0.9982698259923766,7.001683200637351,28.956000000000014,4.258731623770378,29.885835956283355
