index,fcs_loc,radius,AR,tdivc_scale,N_eng,HTR_f,Vspec,fcs_fuselage_location,CDS,WMTO,Vol_wing,PFEI,seats_abreast,Vol_nacelle,y_centroid_wing,L_fuse,y_centroid_nacelles,span
"(1, 1, 1, 1, 4, 6, 1, 1)",nacelle,2.54,10.1,1.0,8,0.37105263157894736,500000.0,0.0,4.796549995204979,757326.962478935,23.67478275872995,1.0257616701898666,7,0.7000665338269576,8.15939717342206,25.14600000000001,8.351873283211376,35.29150431169834
"(1, 1, 1, 1, 4, 7, 1, 1)",nacelle,2.54,10.1,1.0,8,0.4052631578947368,500000.0,0.0,4.815165042483937,759209.0443872574,23.761908909213364,1.0296246927028612,7,0.8801882404667803,8.16876196396028,25.14600000000001,8.374799307538773,35.33523096012583
"(1, 1, 1, 1, 4, 8, 1, 1)",nacelle,2.54,10.1,1.0,8,0.4394736842105263,500000.0,0.0,4.83697431135965,761421.3278228522,23.86445454504942,1.034150564593721,7,1.0983854304174614,8.179754714756063,25.14600000000001,8.401369676615767,35.386558979405756
"(1, 1, 1, 1, 4, 9, 1, 1)",nacelle,2.54,10.1,1.0,8,0.47368421052631576,500000.0,0.0,4.862601491098027,764030.7024775809,23.98559115979661,1.0394687135234257,7,1.3643916448923323,8.192699708470712,25.14600000000001,8.43221419492022,35.447002529824346
"(1, 1, 1, 1, 4, 10, 1, 1)",nacelle,2.54,10.1,1.0,8,0.5078947368421053,500000.0,0.0,4.892867201662351,767125.7252673744,24.129532701658775,1.0457493929598969,7,1.6915090923886846,8.208024903184276,25.14600000000001,8.468149571277568,35.518559859226194
"(1, 1, 1, 1, 4, 11, 1, 1)",nacelle,2.54,10.1,1.0,8,0.5421052631578948,500000.0,0.0,4.928870597785204,770825.8697722047,24.30198580642514,1.0532206430724749,7,2.0982929385467846,8.226305269484028,25.14600000000001,8.510252338662735,35.60391565517834
"(1, 1, 1, 1, 4, 12, 1, 1)",nacelle,2.54,10.1,1.0,8,0.5763157894736842,500000.0,0.0,4.97211527701055,775295.8979547628,24.510855957734314,1.0621943926546076,7,2.611262069279984,8.24832995496966,25.14600000000001,8.559969799926026,35.70675465355484
"(1, 1, 1, 1, 4, 13, 1, 1)",nacelle,2.54,10.1,1.0,8,0.6105263157894737,500000.0,0.0,5.024711121477767,780769.1449969303,24.76739890223834,1.0731083031583872,7,3.2694285614826506,8.275210255965808,25.14600000000001,8.619294850236582,35.83226578661078
"(1, 1, 1, 1, 4, 14, 1, 1)",nacelle,2.54,10.1,1.0,8,0.6447368421052632,500000.0,0.0,5.0897116029367995,787586.9180955328,25.088184542454172,1.0865957716147026,7,4.132208683139323,8.308560762011533,25.14600000000001,8.691052907565101,35.98798799382818
"(1, 1, 1, 1, 4, 15, 1, 1)",nacelle,2.54,10.1,1.0,8,0.6789473684210526,500000.0,0.0,5.171705114475087,796268.4497964706,25.498618035287123,1.1036085141536205,7,5.293991081187085,8.35081763876131,25.14600000000001,8.77939491392368,36.18529636775709
"(1, 1, 1, 1, 4, 16, 1, 1)",nacelle,2.54,10.1,1.0,8,0.7131578947368421,500000.0,0.0,5.277916575233893,807643.2303763924,26.03968003929485,1.12564427748687,7,6.9127603397093464,8.40583316472579,25.14600000000001,8.890695993883009,36.442178201054276
"(1, 1, 1, 1, 4, 17, 1, 1)",nacelle,2.54,10.1,1.0,8,0.7473684210526316,500000.0,0.0,5.420426614135675,823122.9064171119,26.781977663237534,1.155207743990167,7,9.271101509533265,8.480078513598244,25.14600000000001,9.03532324643374,36.7888490907311
"(1, 1, 1, 1, 4, 18, 1, 1)",nacelle,2.54,10.1,1.0,8,0.781578947368421,500000.0,0.0,5.621102251600534,845319.6122202822,27.858305140163722,1.196836726406269,7,12.920639882473195,8.585324339727512,25.14600000000001,9.231458451400833,37.28026929055648
"(1, 1, 1, 1, 4, 19, 1, 1)",nacelle,2.54,10.1,1.0,8,0.8157894736842105,500000.0,0.0,5.924079351312095,879654.7175969213,29.55057231374576,1.259677366351236,7,19.076274326578943,8.745423939719055,25.14600000000001,9.514467119550616,38.027816060945014
"(1, 1, 1, 1, 4, 20, 1, 1)",nacelle,2.54,10.1,1.0,8,0.85,500000.0,0.0,6.434200243939786,939501.0878465472,32.57804057914724,1.3654301877760093,7,30.938940106955368,9.0171542885714,25.14600000000001,9.964617338105626,39.296595899944286
